subject	predicate	object
http://www.wikidata.org/entity/Q5891	http://www.wikidata.org/prop/direct/P31	http://www.wikidata.org/entity/Q483394
http://www.wikidata.org/entity/Q5891	http://www.wikidata.org/prop/direct/P31	http://www.wikidata.org/entity/Q627436
http://www.wikidata.org/entity/Q5891	http://www.wikidata.org/prop/direct/P31	http://www.wikidata.org/entity/Q2465832
http://www.wikidata.org/entity/Q5891	http://www.wikidata.org/prop/direct/P31	http://www.wikidata.org/entity/Q4671286
http://www.wikidata.org/entity/Q5891	http://www.wikidata.org/prop/direct/P31	http://www.wikidata.org/entity/Q11862829
http://www.wikidata.org/entity/Q5891	http://www.wikidata.org/prop/direct/P279	http://www.wikidata.org/entity/Q105948247
http://www.wikidata.org/entity/Q5891	http://www.wikidata.org/prop/direct/P527	http://www.wikidata.org/entity/Q8078
http://www.wikidata.org/entity/Q5891	http://www.wikidata.org/prop/direct/P527	http://www.wikidata.org/entity/Q9465
http://www.wikidata.org/entity/Q5891	http://www.wikidata.org/prop/direct/P527	http://www.wikidata.org/entity/Q9471
http://www.wikidata.org/entity/Q5891	http://www.wikidata.org/prop/direct/P527	http://www.wikidata.org/entity/Q23407
http://www.wikidata.org/entity/Q5891	http://www.wikidata.org/prop/direct/P527	http://www.wikidata.org/entity/Q35277
http://www.wikidata.org/entity/Q5891	http://www.wikidata.org/prop/direct/P527	http://www.wikidata.org/entity/Q35986
http://www.wikidata.org/entity/Q5891	http://www.wikidata.org/prop/direct/P527	http://www.wikidata.org/entity/Q44325
http://www.wikidata.org/entity/Q5891	http://www.wikidata.org/prop/direct/P527	http://www.wikidata.org/entity/Q59115
http://www.wikidata.org/entity/Q5891	http://www.wikidata.org/prop/direct/P527	http://www.wikidata.org/entity/Q179805
http://www.wikidata.org/entity/Q5891	http://www.wikidata.org/prop/direct/P527	http://www.wikidata.org/entity/Q180536
http://www.wikidata.org/entity/Q5891	http://www.wikidata.org/prop/direct/P527	http://www.wikidata.org/entity/Q190721
http://www.wikidata.org/entity/Q5891	http://www.wikidata.org/prop/direct/P527	http://www.wikidata.org/entity/Q209295
http://www.wikidata.org/entity/Q5891	http://www.wikidata.org/prop/direct/P527	http://www.wikidata.org/entity/Q484761
http://www.wikidata.org/entity/Q5891	http://www.wikidata.org/prop/direct/P527	http://www.wikidata.org/entity/Q2476757
http://www.wikidata.org/entity/Q5891	http://www.wikidata.org/prop/direct/P527	http://www.wikidata.org/entity/Q16669800
http://www.wikidata.org/entity/Q483394	http://www.wikidata.org/prop/direct/P31	http://www.wikidata.org/entity/Q19478619
http://www.wikidata.org/entity/Q483394	http://www.wikidata.org/prop/direct/P279	http://www.wikidata.org/entity/Q16889133
http://www.wikidata.org/entity/Q627436	http://www.wikidata.org/prop/direct/P31	http://www.wikidata.org/entity/Q19478619
http://www.wikidata.org/entity/Q627436	http://www.wikidata.org/prop/direct/P279	http://www.wikidata.org/entity/Q451967
http://www.wikidata.org/entity/Q627436	http://www.wikidata.org/prop/direct/P279	http://www.wikidata.org/entity/Q1047113
http://www.wikidata.org/entity/Q2465832	http://www.wikidata.org/prop/direct/P31	http://www.wikidata.org/entity/Q110402867
http://www.wikidata.org/entity/Q2465832	http://www.wikidata.org/prop/direct/P279	http://www.wikidata.org/entity/Q336
http://www.wikidata.org/entity/Q2465832	http://www.wikidata.org/prop/direct/P279	http://www.wikidata.org/entity/Q1047113
http://www.wikidata.org/entity/Q4671286	http://www.wikidata.org/prop/direct/P279	http://www.wikidata.org/entity/Q11862829
http://www.wikidata.org/entity/Q11862829	http://www.wikidata.org/prop/direct/P31	http://www.wikidata.org/entity/Q110402867
http://www.wikidata.org/entity/Q11862829	http://www.wikidata.org/prop/direct/P279	http://www.wikidata.org/entity/Q1047113
http://www.wikidata.org/entity/Q105948247	http://www.wikidata.org/prop/direct/P31	http://www.wikidata.org/entity/Q96116695
http://www.wikidata.org/entity/Q105948247	http://www.wikidata.org/prop/direct/P279	http://www.wikidata.org/entity/Q3622126
http://www.wikidata.org/entity/Q105948247	http://www.wikidata.org/prop/direct/P527	http://www.wikidata.org/entity/Q9081
http://www.wikidata.org/entity/Q8078	http://www.wikidata.org/prop/direct/P31	http://www.wikidata.org/entity/Q816264
http://www.wikidata.org/entity/Q8078	http://www.wikidata.org/prop/direct/P31	http://www.wikidata.org/entity/Q15831325
http://www.wikidata.org/entity/Q8078	http://www.wikidata.org/prop/direct/P31	http://www.wikidata.org/entity/Q22811234
http://www.wikidata.org/entity/Q8078	http://www.wikidata.org/prop/direct/P279	http://www.wikidata.org/entity/Q124222085
http://www.wikidata.org/entity/Q8078	http://www.wikidata.org/prop/direct/P527	http://www.wikidata.org/entity/Q35148
http://www.wikidata.org/entity/Q8078	http://www.wikidata.org/prop/direct/P527	http://www.wikidata.org/entity/Q179289
http://www.wikidata.org/entity/Q8078	http://www.wikidata.org/prop/direct/P527	http://www.wikidata.org/entity/Q200694
http://www.wikidata.org/entity/Q8078	http://www.wikidata.org/prop/direct/P527	http://www.wikidata.org/entity/Q210841
http://www.wikidata.org/entity/Q8078	http://www.wikidata.org/prop/direct/P527	http://www.wikidata.org/entity/Q224821
http://www.wikidata.org/entity/Q8078	http://www.wikidata.org/prop/direct/P527	http://www.wikidata.org/entity/Q236975
http://www.wikidata.org/entity/Q8078	http://www.wikidata.org/prop/direct/P527	http://www.wikidata.org/entity/Q484284
http://www.wikidata.org/entity/Q8078	http://www.wikidata.org/prop/direct/P527	http://www.wikidata.org/entity/Q484511
http://www.wikidata.org/entity/Q8078	http://www.wikidata.org/prop/direct/P527	http://www.wikidata.org/entity/Q1206311
http://www.wikidata.org/entity/Q9465	http://www.wikidata.org/prop/direct/P31	http://www.wikidata.org/entity/Q11862829
http://www.wikidata.org/entity/Q9465	http://www.wikidata.org/prop/direct/P31	http://www.wikidata.org/entity/Q22811234
http://www.wikidata.org/entity/Q9465	http://www.wikidata.org/prop/direct/P279	http://www.wikidata.org/entity/Q5891
http://www.wikidata.org/entity/Q9465	http://www.wikidata.org/prop/direct/P921	http://www.wikidata.org/entity/Q9332
http://www.wikidata.org/entity/Q9471	http://www.wikidata.org/prop/direct/P31	http://www.wikidata.org/entity/Q22811234
http://www.wikidata.org/entity/Q9471	http://www.wikidata.org/prop/direct/P279	http://www.wikidata.org/entity/Q2166096
http://www.wikidata.org/entity/Q23407	http://www.wikidata.org/prop/direct/P31	http://www.wikidata.org/entity/Q22811234
http://www.wikidata.org/entity/Q23407	http://www.wikidata.org/prop/direct/P279	http://www.wikidata.org/entity/Q5891
http://www.wikidata.org/entity/Q35277	http://www.wikidata.org/prop/direct/P31	http://www.wikidata.org/entity/Q11862829
http://www.wikidata.org/entity/Q35277	http://www.wikidata.org/prop/direct/P31	http://www.wikidata.org/entity/Q22811234
http://www.wikidata.org/entity/Q35277	http://www.wikidata.org/prop/direct/P279	http://www.wikidata.org/entity/Q596284
http://www.wikidata.org/entity/Q35986	http://www.wikidata.org/prop/direct/P31	http://www.wikidata.org/entity/Q1047113
http://www.wikidata.org/entity/Q35986	http://www.wikidata.org/prop/direct/P31	http://www.wikidata.org/entity/Q2267705
http://www.wikidata.org/entity/Q35986	http://www.wikidata.org/prop/direct/P31	http://www.wikidata.org/entity/Q22811234
http://www.wikidata.org/entity/Q35986	http://www.wikidata.org/prop/direct/P279	http://www.wikidata.org/entity/Q5891
http://www.wikidata.org/entity/Q35986	http://www.wikidata.org/prop/direct/P527	http://www.wikidata.org/entity/Q132776155
http://www.wikidata.org/entity/Q44325	http://www.wikidata.org/prop/direct/P31	http://www.wikidata.org/entity/Q1047113
http://www.wikidata.org/entity/Q44325	http://www.wikidata.org/prop/direct/P31	http://www.wikidata.org/entity/Q11862829
http://www.wikidata.org/entity/Q59115	http://www.wikidata.org/prop/direct/P31	http://www.wikidata.org/entity/Q1128340
http://www.wikidata.org/entity/Q59115	http://www.wikidata.org/prop/direct/P31	http://www.wikidata.org/entity/Q2465832
http://www.wikidata.org/entity/Q59115	http://www.wikidata.org/prop/direct/P31	http://www.wikidata.org/entity/Q22811234
http://www.wikidata.org/entity/Q59115	http://www.wikidata.org/prop/direct/P279	http://www.wikidata.org/entity/Q5891
http://www.wikidata.org/entity/Q179805	http://www.wikidata.org/prop/direct/P31	http://www.wikidata.org/entity/Q22811234
